Age,Sex,Education,Nationality,Religion,Political tendency (1 = Left-wing),R-PBS 1,R-PBS 2,R-PBS 3,R-PBS 4,R-PBS 5,R-PBS 6,R-PBS 7,R-PBS 8,R-PBS 9,R-PBS 10,R-PBS 11,R-PBS 12,R-PBS 13,R-PBS 14,R-PBS 15,R-PBS 16,R-PBS 17,R-PBS 18,R-PBS 19,R-PBS 20,R-PBS 21,R-PBS 22,R-PBS 23 (R) ,R-PBS 24,R-PBS 25,R-PBS 26,IAS-R-PBS 1 (R) ,IAS-R-PBS 2,IAS-R-PBS 3,IAS-R-PBS 4 (R) ,IAS-R-PBS 5 (R) ,IAS-R-PBS 6,GCBS 1,GCBS 2,GCBS 3,GCBS 4,GCBS 5,GCBS 6,GCBS 7,GCBS 8,GCBS 9,GCBS 10,GCBS 11,GCBS 12,GCBS 13,GCBS 14,GCBS 15,IAS-GCBS 1 (R) ,IAS-GCBS 2,IAS-GCBS 3,IAS-GCBS 4 (R) ,IAS-GCBS 5 (R) ,IAS-GCBS 6, PSEUDO 1, PSEUDO 2, PSEUDO 3, PSEUDO 4 (R) , PSEUDO 5, PSEUDO 6, PSEUDO 7 (R) , PSEUDO 8, PSEUDO 9, PSEUDO 10, PSEUDO 11 (R) , PSEUDO 12, PSEUDO 13, PSEUDO 14, PSEUDO 15, PSEUDO 16, PSEUDO 17, PSEUDO 18, PSEUDO 19, PSEUDO 20, PSEUDO 21, PSEUDO 22, PSEUDO 23, PSEUDO 24 (R) , PSEUDO 25 (R) , PSEUDO 26, PSEUDO 27 (R) , PSEUDO 28, PSEUDO 29, PSEUDO 30,IAS-PSEUDO 1 (R) ,IAS-PSEUDO 2,IAS-PSEUDO 3,IAS-PSEUDO 4 (R) ,IAS-PSEUDO 5 (R) ,IAS-PSEUDO 6,SIN-B
28,Female,University,Venezolana,Non-practicing religious,10,7,4,7,1,6,4,2,7,4,6,4,7,4,1,7,4,4,4,4,5,5,6,6,7,7,7,2,3,2,2,2,1,5,5,5,4,4,3,5,4,2,3,2,5,4,3,5,2,3,4,2,3,1,4,2,3,3,1,3,3,1,3,5,5,3,3,4,4,3,1,3,1,3,4,5,4,4,1,3,5,3,3,1,3,2,3,3,3,1,5
35,Male,University,venezuela,Religious,9,6,4,6,4,5,1,2,7,6,6,5,6,2,2,6,2,5,1,2,7,6,6,2,6,4,6,3,1,1,4,4,1,4,4,5,5,5,4,4,4,4,3,4,5,4,5,5,3,2,1,4,4,1,4,5,4,5,3,3,3,3,5,3,5,4,5,3,5,4,1,4,1,1,3,2,1,2,3,1,2,3,5,1,3,1,2,4,4,1,4
25,Male,University,Venezolana,Non-practicing religious,10,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,7,1,7,7,1,1,1,4,1,1,4,4,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,4,4,1,5,5,1,5,1,1,5,1,1,1,5,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,5,1,1,1,4,1,1,4,4,1,5
21,Female,Pre-university,Venezolana,Non-practicing religious,4,4,3,6,2,6,2,4,4,4,6,2,6,4,4,4,3,5,1,4,6,5,4,3,7,6,5,3,2,2,2,2,3,4,4,3,3,2,2,4,4,3,2,2,4,4,3,4,2,1,1,2,3,2,2,3,3,5,1,1,4,3,3,4,5,4,5,4,1,3,1,3,1,1,1,2,3,3,5,3,2,1,5,1,3,1,1,3,3,1,2
25,Female,University,Venezolana,Non-practicing religious,7,6,1,7,5,7,1,5,7,1,6,2,7,1,3,6,1,3,1,5,7,5,6,3,7,6,6,3,1,1,3,3,1,2,3,4,4,4,2,3,2,3,3,4,4,4,2,4,3,1,1,3,3,1,4,4,5,4,3,3,2,2,2,5,5,1,5,5,4,3,1,4,1,2,1,1,4,3,4,3,5,1,4,1,3,1,1,3,3,1,2
27,Male,University,Polaca,Atheist,8,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,4,1,1,7,1,1,1,1,2,2,2,2,2,4,2,4,2,2,2,2,2,1,1,2,3,3,2,4,2,2,2,2,1,1,1,1,1,1,1,1,5,1,4,2,5,1,5,3,4,3,1,1,1,2,1,3,4,4,5,1,5,2,3,1,2,2,1,3,2,3,2
38,Female,University,Espa¤ola,Atheist,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,7,1,1,2,3,1,1,4,4,1,1,1,4,1,1,2,1,1,1,1,1,2,2,1,5,3,1,1,3,3,1,1,1,3,5,2,1,3,1,2,1,5,1,5,1,1,2,1,4,1,1,1,1,1,2,3,1,5,4,3,1,3,1,1,3,3,1,3
32,Male,University,Venezolano,Non-practicing religious,8,4,5,4,2,5,4,2,4,4,4,2,5,4,2,4,4,2,2,4,6,5,4,1,2,3,5,3,1,2,2,2,1,3,3,3,4,4,4,3,4,4,3,3,4,3,3,3,2,2,2,1,2,2,3,4,3,5,3,2,3,2,2,4,5,4,5,4,3,3,1,3,1,3,3,3,3,4,4,4,3,3,4,2,2,3,2,2,2,2,2
23,Female,Pre-university,Venezolana,Agnostic,10,1,1,6,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,7,5,1,3,1,3,3,2,1,3,4,4,4,1,2,3,4,4,4,1,1,3,4,1,4,2,1,1,2,2,2,4,4,3,3,4,4,2,5,1,4,4,1,5,2,1,3,1,4,1,2,1,4,4,3,4,4,5,2,4,1,1,2,2,3,1,3,4
22,Female,Pre-university,Venezolano,Atheist,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,4,1,1,4,4,1,5,4,5,1,3,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,1,3,1,4,5,3,1,1,2,3,1,4,3,4,3,1,3,1,3,1,1,1,2,1,5,5,1,5,1,4,1,4,1,1,4,4,1,3
21,Male,Pre-university,venezolana,Agnostic,8,4,1,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,1,6,1,4,6,4,1,1,2,3,3,2,1,3,3,2,3,4,4,3,1,2,3,4,1,3,1,4,4,1,3,3,2,1,3,1,1,4,5,3,1,5,1,2,3,5,1,3,3,4,3,1,3,1,3,3,3,4,5,5,3,5,3,3,1,2,3,3,3,2,3,3
26,Male,Pre-university,Venezolano,Agnostic,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,3,2,1,1,3,1,2,1,2,1,2,1,4,1,3,1,5,1,1,1,1,1,1,1,1,3,5,1,1,1,4,3,2,1,1,3,3,2,3
38,Male,University,Espa¤ol,Agnostic,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,1,7,1,1,1,1,1,1,4,4,1,3,3,5,4,3,4,1,2,1,2,3,5,5,5,5,1,1,1,2,1,1,3,3,3,5,3,3,3,1,1,1,5,1,4,3,3,3,4,3,1,1,5,3,3,2,5,1,5,3,3,1,1,1,1,4,4,1,3
19,Male,Pre-university,Venezolano,Religious,8,5,1,1,1,1,1,2,3,1,4,1,1,1,1,7,1,1,1,1,5,2,3,1,4,1,5,2,3,2,3,1,1,2,4,4,1,1,1,1,1,3,3,1,4,1,2,4,1,2,1,3,2,1,4,2,3,3,3,1,4,2,2,4,5,1,4,4,4,3,1,2,2,2,2,3,4,3,3,2,2,3,2,3,2,3,1,2,3,1,2
24,Female,University,Venezolana y Espa¤ola,Agnostic,7,7,4,7,2,7,1,5,7,4,2,1,7,1,1,7,1,3,1,7,7,5,1,5,7,7,7,2,3,3,2,2,2,3,3,4,4,4,3,3,3,3,5,5,4,3,3,5,3,1,1,4,4,1,5,5,3,5,1,5,3,2,2,4,5,1,5,4,1,4,1,1,1,1,1,3,1,2,5,3,1,1,4,1,2,2,2,3,3,2,3
30,Female,University,venezolana,Atheist,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,4,2,2,4,2,2,4,3,3,1,3,1,1,1,3,3,1,3,3,3,3,4,1,1,3,3,4,3,3,3,5,3,3,3,1,1,1,5,1,4,4,1,3,1,3,1,1,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,1,2
25,Female,University,venezolana,Agnostic,7,1,2,4,1,4,1,3,5,2,6,1,3,1,2,5,3,5,1,1,5,1,1,6,5,5,2,2,3,3,2,1,2,3,3,5,2,4,4,1,2,1,1,1,1,1,4,4,2,3,2,2,2,3,4,5,2,5,2,3,2,2,1,2,4,1,3,1,1,1,1,3,2,2,2,1,4,4,4,1,2,1,3,1,2,3,3,3,2,3,4
22,Male,University,venezolana,Non-practicing religious,8,6,4,7,2,5,1,2,6,4,6,2,4,1,2,7,2,6,1,4,6,3,4,4,6,6,6,2,1,1,3,3,1,5,4,5,4,4,4,3,5,2,2,3,5,4,4,4,2,1,1,3,3,1,3,3,3,3,3,4,3,3,4,4,4,4,3,3,3,3,1,4,1,1,2,3,3,3,4,4,2,3,4,3,2,1,1,3,3,1,3
31,Male,University,Venezuela,Agnostic,8,7,4,5,1,5,4,1,5,4,4,1,5,3,1,5,4,4,1,4,4,4,4,4,5,5,4,1,1,1,1,1,1,3,3,4,3,3,3,3,4,3,2,4,4,4,2,5,1,1,1,1,1,1,4,4,3,1,5,3,3,2,4,4,5,4,5,3,2,2,1,5,1,3,1,3,1,1,5,3,3,3,5,1,1,1,1,1,1,1,1
29,Male,University,Venezolano,Atheist,9,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,1,1,1,2,2,4,2,5,5,5,3,4,4,1,1,1,4,4,2,4,2,4,2,1,1,3,3,1,5,5,3,1,3,4,3,1,1,1,5,1,3,3,2,3,5,4,1,1,3,3,4,4,5,1,5,2,4,1,1,4,2,3,1,4,1
22,Male,Pre-university,Venezolano,Atheist,7,4,4,4,2,5,6,2,3,3,4,2,4,6,2,1,4,2,1,4,7,3,2,5,4,5,6,2,1,3,2,3,1,5,3,5,2,2,2,4,4,4,3,2,4,4,3,5,2,1,2,3,3,1,4,3,4,3,3,3,3,2,3,4,5,4,5,4,2,3,1,3,1,3,3,3,4,3,4,5,5,3,4,1,2,1,2,3,3,1,3
17,Female,University,Venezolana,Agnostic,8,1,3,5,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1,1,7,1,4,7,5,1,2,2,1,1,4,4,2,1,2,4,1,1,1,1,4,1,1,3,3,3,3,4,2,1,1,3,4,1,2,4,4,5,1,1,5,2,3,4,5,3,3,1,1,3,1,3,1,3,3,3,1,1,3,3,5,1,5,1,2,1,1,3,4,1,2
35,Male,University,Venezolana,Agnostic,8,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,4,4,4,1,2,1,1,1,1,1,1,3,1,1,3,1,2,4,4,4,3,4,4,3,1,1,1,1,1,1,4,5,1,5,2,2,1,1,1,1,3,1,1,1,1,4,1,1,1,3,1,2,3,4,4,4,2,2
21,Female,University,Venezolana ,Agnostic,6,7,1,4,3,7,1,1,7,1,7,2,7,1,2,7,2,1,1,4,7,2,7,2,5,5,1,1,4,4,2,1,2,2,2,3,2,2,1,5,5,1,1,1,2,1,4,2,2,4,4,3,1,3,2,2,1,5,3,1,1,3,2,2,4,1,5,2,1,3,1,2,1,1,1,2,1,3,4,1,2,1,1,1,1,4,4,3,1,4,3
23,Female,University,venezolana,Non-practicing religious,7,6,1,5,1,3,1,1,5,1,5,1,4,2,1,7,1,4,1,4,6,3,5,7,5,5,5,3,1,1,4,3,2,4,4,3,1,2,2,2,2,2,3,3,4,3,4,2,2,3,3,3,2,2,4,4,4,5,3,4,4,2,4,2,4,2,3,4,1,3,1,3,5,2,2,3,4,4,4,2,2,2,4,1,3,2,1,4,3,3,4
25,Male,University,Venezuela,Agnostic,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,3,4,2,2,2,3,1,1,3,1,1,1,1,2,1,1,2,2,1,1,2,4,2,1,3,3,1,1,1,3,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,2,1,3,1,2,2,2,1,3
33,Male,University,Venezolano,Agnostic,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,4,3,3,2,2,3,3,3,3,3,1,1,1,1,1,1,1,2,3,3,1,3,3,2,2,3,1,1,1,5,1,1,5,1,1,1,5,1,4,1,1,1,1,1,1,5,1,1,1,5,5,1,5,1,3,1,2,3,3,2,2,3,1
28,Male,Pre-university,Venezolano,Non-practicing religious,8,7,2,3,1,4,2,1,7,2,3,2,2,2,1,5,6,2,1,4,7,1,5,2,1,2,2,3,1,2,3,4,2,4,4,5,3,3,3,2,5,4,4,2,4,2,5,5,4,1,1,3,4,1,4,4,3,5,3,3,2,1,3,5,5,3,5,3,4,4,3,4,1,3,2,3,5,2,3,3,4,3,5,2,3,2,3,2,3,1,3
33,Female,University,Espa¤ola,Atheist,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,1,1,1,1,1,1,3,3,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,1,1,1,1,1,1,4,2,1,1,5,1,5,1,1,1,1,4,1,1,1,1,1,5,5,1,5,1,5,1,1,3,3,3,2,3,2
24,Female,University,Venezolana,Atheist,7,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,3,2,1,3,1,2,1,2,2,1,1,1,1,1,3,1,2,2,1,3,2,2,1,1,3,3,2,5,3,2,4,1,3,1,5,2,4,1,1,2,1,4,1,1,2,1,2,5,5,1,5,1,1,1,1,4,2,3,1,2,1
25,Male,University,Espa¤ol,Atheist,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,7,1,1,1,3,2,2,4,2,2,1,1,1,5,5,1,1,1,1,1,1,1,1,4,4,1,3,3,3,2,3,1,1,5,5,3,2,5,1,2,1,5,1,2,1,1,3,1,1,1,1,1,1,1,5,1,1,5,1,2,1,3,1,1,4,3,2,1
21,Male,Pre-university,Venezolano,Agnostic,10,2,2,2,2,5,2,2,1,1,2,1,3,2,1,2,1,1,1,1,5,2,2,2,2,2,2,3,1,2,3,3,2,4,4,4,2,2,2,3,4,4,1,2,5,5,5,1,3,1,1,4,4,1,3,4,3,3,4,1,3,1,3,3,5,2,3,4,4,3,1,4,1,5,1,3,5,5,5,3,2,3,5,1,3,2,2,3,2,2,4
44,Male,University,Espa¤ola,Religious,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,6,1,1,7,1,1,3,2,4,3,1,1,3,1,1,1,2,1,2,1,1,1,2,1,3,2,3,3,2,3,3,2,2,3,3,4,3,1,1,2,3,1,3,1,5,3,4,1,4,3,1,2,1,1,1,3,4,4,5,2,5,4,4,1,2,3,3,2,2,3,2
34,Male,University,Espa¤ola,Atheist,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,2,2,2,4,2,1,2,4,2,1,1,1,1,1,1,1,1,3,1,4,1,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1,3,1,1,1,3,1,1,1,4,5,1,5,3,2,1,1,2,2,2,3,2,1
19,Male,University,Venezolano ,Religious,7,6,1,1,1,2,1,1,6,1,2,1,4,1,1,6,1,5,1,4,7,5,6,6,1,3,5,2,2,1,3,2,2,5,3,5,1,1,1,1,3,2,2,3,4,4,4,4,2,2,1,3,3,2,4,4,4,5,3,4,4,4,4,4,5,1,5,3,1,4,1,2,1,1,1,3,4,4,5,3,5,3,2,1,3,2,1,4,1,3,1
22,Female,Pre-university,Espa¤ola,Atheist,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,2,4,2,1,2,2,3,4,4,4,1,1,1,2,1,1,1,1,1,1,4,3,2,2,2,3,2,1,1,2,5,4,4,5,1,1,1,5,1,5,1,1,3,1,4,1,5,3,2,1,3,5,1,5,1,3,1,2,3,2,2,2,2,3
54,Male,University,Espa¤ola,Agnostic,1,1,2,2,1,1,4,2,1,4,4,2,2,4,2,1,2,2,2,1,6,1,1,6,2,1,2,1,2,2,3,2,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,2,1,2,3,2
26,Female,University,espa¤ola,Atheist,1,5,1,7,1,4,1,1,7,1,7,1,1,1,1,5,1,7,1,5,7,7,3,7,7,7,7,3,3,3,2,1,4,4,3,5,4,4,5,1,1,1,5,1,5,5,5,5,3,3,3,2,2,4,2,5,3,5,5,5,1,1,5,1,5,3,5,1,1,3,1,3,1,5,3,3,5,5,5,3,5,3,5,1,3,3,2,2,2,4,3
46,Female,University,espa¤ola,Agnostic,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,4,3,2,1,4,1,1,1,2,2,3,1,3,1,1,2,2,2,4,2,1,2,2,2,2,3,3,3,3,5,1,1,3,1,1,1,5,1,4,3,1,3,1,1,1,1,1,1,1,5,5,3,1,3,2,1,2,2,2,2,2,3,3
55,Male,University,Espa¤ola,Atheist,3,1,1,1,1,1,2,1,1,2,3,1,1,2,1,1,1,1,1,1,6,1,1,6,2,1,1,3,1,1,3,3,3,2,3,2,3,3,2,1,1,2,2,2,3,2,3,4,3,1,1,3,3,2,1,1,1,5,1,1,5,1,3,1,3,1,4,1,1,1,1,1,2,2,1,3,1,4,5,1,5,1,2,1,2,3,1,4,3,4,2
66,Female,University,Espa¤ola,Atheist,3,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,3,1,1,3,3,1,5,4,5,2,5,2,2,2,2,1,2,5,5,3,5,3,3,1,3,3,3,4,4,5,3,5,5,1,1,4,5,5,5,5,5,1,5,1,5,1,1,1,2,2,1,5,5,5,4,5,1,2,3,3,3,3,2,3
50,Female,University,Espa¤ola,Atheist,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,3,4,2,2,1,2,2,1,3,3,3,5,4,3,2,1,2,4,1,3,5,4,1,4,5,3,1,1,1,3,2,1,5,2,1,1,4,1,2,2,1,2,2,1,2
